icao_airl_code,perf_type,deviation_code,mel_dx_remark,mel_ofp_remark,p_tow,p_enrte_wt,p_lw,p_tcap,unit_weight,p_perf_corr,p_altitude,unit_vertical,p_speed_knots,p_speed_mach,unit_speed,p_etops_circles,unit_etops_circles,p_etops_critfuel_dc,p_etops_critfuel_dx,item_10a,item10_b,item18_rnav,item18_rnp,tcas,fms,landing_ep,ats_service_type,other_eq,auto_land_down,ils_down,aos_action,gls_down,rnp_precision_down,aime,eff_from,eff_till,action
HVN,87967,CDL57-53-02X1,ANY NUMBER MAY BE MISSING. 01 AFFECTED WING *APPLY PENALTY TAKE-OFF 113 ENROUTE 91 APPROACH & LANDING -*,INBOARD FLAP LOWER SEAL AT SIDE OF BODY.,113,91,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-53-02X2,ANY NUMBER MAY BE MISSING. 02 AFFECTED WING *APPLY PENALTY TAKE-OFF 226 ENROUTE 182 APPROACH & LANDING -*,INBOARD FLAP LOWER SEAL AT SIDE OF BODY. ,226,182,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-53-11X1,"FOUR PER WING MAY BE MISSING. MANUALY ENSURE: PENALTIES APPLIED: TO 272XL KG, ENR 249XL KG, LDG = 23XL KG,  L-TOTAL LENGTH OF SEAL MISSING (FT). L<2.75","OUTBOARD FLAP SUPPORT NUMBER 1, 2, 7 AND 8 AFT FAIRING SEALS.",0,0,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,a,,,,,,INSERT
HVN,87967,CDL57-53-11X2,"FOUR PER WING MAY BE MISSING. MANUALY ENSURE: LDG = 23XL KG,  L-TOTAL LENGTH OF SEAL MISSING (FT). L>2.75*PENALTIES APPLIED: TO 748 KG, ENR 748 KG* ","OUTBOARD FLAP SUPPORT NUMBER 1, 2, 7 AND 8 AFT FAIRING SEALS.",748,748,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,a,,,,,,INSERT
HVN,87967,CDL57-53-12X1,"ONE MAY BE MISSING. *REDUCE PERFORMANCE LIMITED WEIGHTS TAKE-OFF 1,996 ENROUTE 1,111 APPROACH & LANDING 590*","OUTBOARD FLAP SUPPORT NUMBER 1, 2, 7 AND 8 AFT FAIRING.",1996,1111,590,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-53-13X1,ANY NUMBER MAY BE MISSING. 1 AFFECTED FAIRING. *APPLY PENALTY TAKE-OFF 748 ENROUTE 657 APPROACH & LANDING 23*,OUTBOARD FLAP SUPPORT NUMBER 2 AND 7 AFT FAIRING DOORS. ,748,657,23,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-53-13X2,"ANY NUMBER MAY BE MISSING. 2 AFFECTED FAIRING *APPLY PENALTY TAKE-OFF 1,496 ENROUTE 1,314 APPROACH & LANDING 46*",OUTBOARD FLAP SUPPORT NUMBER 2 AND 7 AFT FAIRING DOORS. ,1496,1314,46,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-53-13X3,"ANY NUMBER MAY BE MISSING. 3 AFFECTED FAIRING *APPLY PENALTY TAKE-OFF 2,244 ENROUTE 1,971 APPROACH & LANDING 69*",OUTBOARD FLAP SUPPORT NUMBER 2 AND 7 AFT FAIRING DOORS. ,2244,1971,69,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-53-13X4,"ANY NUMBER MAY BE MISSING. 4 AFFECTED FAIRING *APPLY PENALTY TAKE-OFF 2,992 ENROUTE 2,628 APPROACH & LANDING 92*",OUTBOARD FLAP SUPPORT NUMBER 2 AND 7 AFT FAIRING DOORS. ,2992,2628,92,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-53-14X1,ANY NUMBER MAY BE MISSING. 01 AFFECTED WING *APPLY PENALTY TAKE-OFF 318 ENROUTE 318 APPROACH & LANDING -*,OUTBOARD FLAP OUTBOARD END SEAL. ,318,318,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-53-14X2,ANY NUMBER MAY BE MISSING. 02 AFFECTED WING *APPLY PENALTY TAKE-OFF 636 ENROUTE 636 APPROACH & LANDING -*,OUTBOARD FLAP OUTBOARD END SEAL. ,636,636,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
